wellbeing,log_income,income,income_above_100
33.709,12.07,175000,1
67.245,11.63,112500,1
50,11.23,75000,0
51.793,11.83,137500,1
53.136,11.46,95000,0
70.807,12.07,175000,1
57.411,11.46,95000,0
69.443,11.08,65000,0
77.196,12.07,175000,1
53.309,12.07,175000,1
68.227,11.63,112500,1
60.367,9.62,15000,0
54.417,11.08,65000,0
64.114,12.07,175000,1
52.826,11.63,112500,1
60.293,10.13,25000,0
57.217,11.63,112500,1
82.799,11.46,95000,0
50.752,10.92,55000,0
72.598,10.13,25000,0
81.275,11.08,65000,0
64.926,11.46,95000,0
79.438,11.63,112500,1
59.116,12.43,250000,1
80.179,11.46,95000,0
52.643,11.46,95000,0
78.008,11.83,137500,1
69.586,12.43,250000,1
51.19,9.62,15000,0
67.37,12.9,4.00E+05,1
68.331,11.35,85000,0
66.409,11.83,137500,1
66.929,12.43,250000,1
92.326,10.13,25000,0
65.157,10.71,45000,0
41.463,10.46,35000,0
55.871,10.46,35000,0
54.893,10.46,35000,0
46.004,10.92,55000,0
69.888,10.13,25000,0
87.409,13.35,625000,1
68.858,9.62,15000,0
96.016,11.08,65000,0
47.656,11.08,65000,0
72.648,10.92,55000,0
59.019,10.71,45000,0
72.598,10.92,55000,0
57.707,12.43,250000,1
67.506,11.46,95000,0
75.677,10.92,55000,0
82.36,10.13,25000,0
58.761,11.35,85000,0
72.48,11.63,112500,1
55.349,10.13,25000,0
55.025,11.23,75000,0
57.591,10.71,45000,0
80.179,10.46,35000,0
61,12.07,175000,1
65.431,10.13,25000,0
52.597,11.35,85000,0
68.858,11.63,112500,1
40.435,11.08,65000,0
73.05,11.23,75000,0
54.935,11.35,85000,0
91.514,11.83,137500,1
52,11.23,75000,0
59.94,11.63,112500,1
49.052,9.62,15000,0
74.659,12.43,250000,1
61.568,11.46,95000,0
71.838,11.35,85000,0
84.991,11.83,137500,1
86.554,12.43,250000,1
70.218,10.46,35000,0
65.808,12.43,250000,1
61.923,11.83,137500,1
50.654,11.08,65000,0
71.232,10.71,45000,0
72.429,10.92,55000,0
72.848,12.43,250000,1
82.799,11.08,65000,0
65.371,11.46,95000,0
68.928,11.08,65000,0
55.271,10.92,55000,0
70.899,10.46,35000,0
67.211,12.9,4.00E+05,1
63.627,10.13,25000,0
58.219,11.63,112500,1
52.46,11.23,75000,0
56.324,10.92,55000,0
67.569,9.62,15000,0
61.413,10.92,55000,0
48.761,12.43,250000,1
41.977,11.46,95000,0
46,11.08,65000,0
66.443,10.46,35000,0
45.118,11.35,85000,0
42.791,10.46,35000,0
61.894,10.13,25000,0
81.389,11.35,85000,0
71.51,11.08,65000,0
60.341,11.63,112500,1
64.427,11.35,85000,0
72.429,11.83,137500,1
56.828,11.63,112500,1
48.487,11.35,85000,0
54.38,10.71,45000,0
98.183,12.07,175000,1
63.237,11.08,65000,0
62.006,12.9,4.00E+05,1
63.627,11.83,137500,1
66.288,11.83,137500,1
60.48,9.62,15000,0
52.541,11.35,85000,0
64.617,10.92,55000,0
57.788,10.92,55000,0
53.443,13.35,625000,1
71.88,11.63,112500,1
56.008,10.46,35000,0
64.453,12.43,250000,1
64.654,12.07,175000,1
63.063,12.07,175000,1
75.026,12.07,175000,1
62,11.63,112500,1
67.284,10.92,55000,0
56.828,10.71,45000,0
63.461,10.46,35000,0
56.481,10.46,35000,0
58.219,11.23,75000,0
61.441,12.07,175000,1
72.48,11.83,137500,1
68.078,12.07,175000,1
75.577,12.07,175000,1
53.731,11.23,75000,0
53.005,11.08,65000,0
83.257,11.08,65000,0
76.001,11.63,112500,1
57.004,11.08,65000,0
46.44,9.62,15000,0
43.777,10.71,45000,0
61.985,11.08,65000,0
67.284,9.62,15000,0
64.894,11.23,75000,0
99.501,12.07,175000,1
59.495,11.63,112500,1
68.895,10.92,55000,0
69.93,12.43,250000,1
53.486,11.23,75000,0
53.21,10.92,55000,0
87.651,10.92,55000,0
76.148,10.71,45000,0
56.797,11.46,95000,0
60.069,11.08,65000,0
70.939,12.9,4.00E+05,1
68.288,10.92,55000,0
58.103,11.35,85000,0
62.385,12.9,4.00E+05,1
54.496,10.13,25000,0
56.828,11.23,75000,0
79.575,13.35,625000,1
69.509,11.83,137500,1
57.353,10.46,35000,0
70.059,10.71,45000,0
86.046,11.23,75000,0
81.159,10.13,25000,0
23.613,10.71,45000,0
72.961,10.13,25000,0
55.111,12.07,175000,1
60.752,10.46,35000,0
62.766,11.35,85000,0
41.977,11.83,137500,1
52.156,11.23,75000,0
45.847,11.46,95000,0
72.648,10.46,35000,0
58.131,11.08,65000,0
79.293,12.9,4.00E+05,1
52.414,11.46,95000,0
63.708,11.23,75000,0
80.276,11.83,137500,1
56.674,11.35,85000,0
64.371,10.92,55000,0
80.68,10.92,55000,0
55.906,11.08,65000,0
80.179,10.46,35000,0
58.323,13.35,625000,1
71.011,10.13,25000,0
71.925,11.08,65000,0
63.517,11.23,75000,0
62.697,11.63,112500,1
79.221,11.23,75000,0
55.842,11.83,137500,1
77.051,10.92,55000,0
54.216,10.46,35000,0
69.331,12.07,175000,1
78.462,10.92,55000,0
58.343,12.07,175000,1
54.935,12.07,175000,1
72.743,10.92,55000,0
55.529,11.46,95000,0
54.524,9.62,15000,0
73.458,11.83,137500,1
79.293,11.23,75000,0
59.708,10.71,45000,0
62.09,10.13,25000,0
63.36,11.63,112500,1
68.928,11.46,95000,0
47.152,10.13,25000,0
73.458,10.71,45000,0
71.191,10.71,45000,0
81.08,11.63,112500,1
80.385,10.71,45000,0
59.056,11.35,85000,0
59.472,11.35,85000,0
63.131,12.07,175000,1
66.639,11.63,112500,1
49.941,11.63,112500,1
61.001,11.83,137500,1
72.337,11.83,137500,1
71.793,11.83,137500,1
76.342,11.63,112500,1
46.44,12.07,175000,1
80.001,11.46,95000,0
39.945,11.83,137500,1
67.66,11.46,95000,0
67.284,10.46,35000,0
61.148,11.08,65000,0
64.4,11.35,85000,0
63.978,11.83,137500,1
47.152,11.63,112500,1
70.603,11.63,112500,1
62.62,10.92,55000,0
72.794,11.35,85000,0
60.809,10.46,35000,0
59.116,11.63,112500,1
70.332,10.71,45000,0
48.349,10.46,35000,0
67.86,11.08,65000,0
52,9.62,15000,0
62.421,10.92,55000,0
65.468,11.08,65000,0
40.717,10.92,55000,0
52.691,10.13,25000,0
72.743,10.92,55000,0
90.703,11.83,137500,1
83.135,11.23,75000,0
58.249,11.83,137500,1
53.256,11.23,75000,0
79.575,11.63,112500,1
85.461,10.71,45000,0
56.957,12.07,175000,1
32.19,11.63,112500,1
54.801,10.13,25000,0
61.199,11.35,85000,0
53.401,12.9,4.00E+05,1
57.619,11.23,75000,0
59.355,11.35,85000,0
57.619,11.23,75000,0
39.226,11.23,75000,0
43.456,11.08,65000,0
68.254,10.46,35000,0
42.425,12.07,175000,1
57.183,11.46,95000,0
48.017,11.35,85000,0
63.36,11.08,65000,0
77.378,11.46,95000,0
49.791,11.63,112500,1
61.001,10.92,55000,0
69.365,12.07,175000,1
63.734,11.83,137500,1
52.597,11.35,85000,0
57.591,9.62,15000,0
54.893,11.63,112500,1
49.546,11.23,75000,0
63.461,10.71,45000,0
53.309,12.07,175000,1
53.765,10.92,55000,0
59.507,11.08,65000,0
53.443,9.62,15000,0
72.013,11.46,95000,0
72.961,12.9,4.00E+05,1
65.668,13.35,625000,1
50,12.43,250000,1
21.91,11.63,112500,1
57.533,10.92,55000,0
68,10.92,55000,0
45.717,11.63,112500,1
69.617,10.46,35000,0
63.237,10.92,55000,0
99.501,10.71,45000,0
19.191,10.71,45000,0
54.801,11.46,95000,0
75.974,11.08,65000,0
81.006,12.43,250000,1
55.453,12.07,175000,1
76.001,11.63,112500,1
89.819,11.63,112500,1
90.25,12.07,175000,1
77.378,10.71,45000,0
65.808,11.46,95000,0
54.127,11.63,112500,1
64.211,12.43,250000,1
62.949,10.46,35000,0
92.326,9.62,15000,0
45.717,11.63,112500,1
52.269,11.83,137500,1
60.906,12.07,175000,1
58.885,11.23,75000,0
69.888,10.13,25000,0
64.617,10.46,35000,0
62.115,10.13,25000,0
46.324,11.35,85000,0
59.086,11.63,112500,1
52.597,11.63,112500,1
74.762,12.9,4.00E+05,1
52.414,11.83,137500,1
68.895,11.35,85000,0
70.496,10.71,45000,0
51.129,11.83,137500,1
73.365,12.43,250000,1
57.249,10.46,35000,0
51.626,12.07,175000,1
55.994,11.83,137500,1
67.86,11.63,112500,1
59.533,10.13,25000,0
62.09,11.23,75000,0
66.443,11.08,65000,0
70.939,11.83,137500,1
79.5,11.08,65000,0
69.403,11.63,112500,1
67.977,11.63,112500,1
57.249,11.83,137500,1
62.766,10.46,35000,0
75.828,10.13,25000,0
68.148,10.71,45000,0
71.153,12.07,175000,1
50.989,11.46,95000,0
69.93,11.63,112500,1
60.504,10.92,55000,0
64.769,9.62,15000,0
86.046,11.46,95000,0
61.413,11.35,85000,0
55.2,11.23,75000,0
80.073,10.46,35000,0
72.558,11.46,95000,0
73,11.08,65000,0
56.703,10.71,45000,0
79.362,10.46,35000,0
26.73,9.62,15000,0
64.926,12.43,250000,1
